strain,steve_strain_names,husb,husb_group,animal_type,sample_type,genus,CRE,ESBL,MAR,MAR_profile,AUG,AMP,AZI,FAZ,FEP,FOT,FOX,POD,TAZ,AXO,CEP,CHL,CIP,GEN,IMP,MEM,NAL,TZP,STR,SUL,FTC,CCV,TET,SXT
Res13-Lact-EA18-31,LEA1831,AF3,AF3-3,sow,feces,Escherichia coli,No,Yes,9,AugAmpFazFotPodTazAxoCepSxt,R,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-EA19-13,NA,AF3,AF3-3,sow,feces,Escherichia coli,No,Yes,8,AmpFazFotPodTazAxoCepSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-EA19-06,NA,AF3,AF3-3,sow,feces,Escherichia coli,No,Yes,8,AmpFazFotPodTazAxoCepSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-EA20-14,NA,AF3,AF3-3,sow,feces,Escherichia coli,No,Yes,8,AmpFazFotPodTazAxoCepSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-EA20-30,NA,AF3,AF3-3,sow,feces,Escherichia coli,No,Yes,8,AmpFazFotPodTazAxoCepSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-EA21-10,NA,AF3,AF3-3,sow,feces,Escherichia coli,No,Yes,8,AmpFazFotPodTazAxoCepSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-EA21-03,NA,AF3,AF3-3,sow,feces,Escherichia coli,No,Yes,8,AmpFazFotPodTazAxoCepSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-PEA15-01,NA,AF3,AF3-3,suckler,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-PEA16-33,NA,AF3,AF3-3,suckler,feces,Escherichia coli,No,Yes,10,AmpFazFotPodTazAxoCepSulTetSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,R,R
Res13-Lact-PEA16-13,NA,AF3,AF3-3,suckler,feces,Escherichia coli,No,Yes,10,AmpFazFotPodTazAxoCepSulTetSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,R,R
Res13-Lact-PEA17-21,NA,AF3,AF3-3,suckler,feces,Escherichia coli,No,No,12,AugAmpFazFotFoxPodAxoCepStrSulTetSxt,R,R,S,R,S,R,R,R,I,R,R,S,S,S,S,S,S,S,R,R,NI,NI,R,R
Res13-Lact-PEA18-23,LPEA1823,AF3,AF3-3,suckler,feces,Escherichia coli,No,Yes,10,AmpFazFepFotPodTazAxoCepSulSxt,S,R,S,R,R,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-PEA19-11,LPEA1911,AF3,AF3-3,suckler,feces,Escherichia hermannii,No,Yes,8,AmpFazFotPodAxoCepSulSxt,S,R,S,R,S,R,S,R,S,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-PEA20-36,LPEA2036,AF3,AF3-3,suckler,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-PEA20-02,NA,AF3,AF3-3,suckler,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Lact-PEA21-01,NA,AF3,AF3-3,suckler,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Sevr-PEA15-38,NA,AF3,AF3-3,weaner,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Sevr-PEA15-37,SPEA1537,AF3,AF3-3,weaner,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Sevr-PEA16-24,NA,AF3,AF3-3,weaner,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,I,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Sevr-PEA16-16,NA,AF3,AF3-3,weaner,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,SD,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
Res13-Sevr-PEA17-13,NA,AF3,AF3-3,weaner,feces,Escherichia coli,No,Yes,9,AmpFazFotPodTazAxoCepSulSxt,S,R,S,R,S,R,S,R,R,R,R,S,S,S,S,S,S,S,S,R,ESBL,ESBL,S,R
